"","year","sex","db_bar.EDAT1899_1A7","monthly_income"
"56",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"57",2021,"DONA","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"58",2021,"HOME","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"59",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"60",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"61",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"62",2021,"HOME","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"63",2021,"HOME","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"64",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"65",2021,"DONA","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"66",2021,"DONA","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"67",2021,"DONA","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"68",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"69",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"70",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"71",2021,"HOME","DE 18 A 24 ANYS","DE 2.001 A 2.500 EUROS"
"72",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"73",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"74",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"75",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"76",2021,"HOME","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"77",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"78",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"79",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"80",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"81",2021,"DONA","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"82",2021,"HOME","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"83",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"84",2021,"DONA","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"85",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"86",2021,"HOME","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"87",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"88",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"89",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"90",2021,"DONA","DE 55 A 64 ANYS","MENYS DE 500 EUROS"
"91",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"92",2021,"DONA","DE 55 A 64 ANYS","NO CONTESTA"
"93",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"94",2021,"HOME","DE 55 A 64 ANYS","DE 5.001 A 7.000 EUROS"
"95",2021,"HOME","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"96",2021,"DONA","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"97",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"98",2021,"HOME","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"99",2021,"DONA","DE 18 A 24 ANYS","DE 2.501 A 3.000 EUROS"
"100",2021,"DONA","DE 18 A 24 ANYS","MÉS DE 9.000 EUROS"
"101",2021,"HOME","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"102",2021,"DONA","DE 18 A 24 ANYS","DE 2.501 A 3.000 EUROS"
"103",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"104",2021,"DONA","DE 35 A 44 ANYS","NO CONTESTA"
"105",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"106",2021,"DONA","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"107",2021,"DONA","DE 35 A 44 ANYS","NO CONTESTA"
"108",2021,"DONA","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"109",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"110",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"111",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"112",2021,"DONA","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"113",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"114",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"115",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"116",2021,"HOME","DE 55 A 64 ANYS","NO HO SAP"
"117",2021,"DONA","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"118",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"119",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"120",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"121",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"122",2021,"HOME","DE 45 A 54 ANYS","NO CONTESTA"
"123",2021,"HOME","DE 45 A 54 ANYS","DE 500 A 1.000 EUROS"
"124",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"125",2021,"DONA","DE 18 A 24 ANYS","DE 500 A 1.000 EUROS"
"126",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"127",2021,"DONA","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"128",2021,"HOME","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"129",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"130",2021,"DONA","DE 18 A 24 ANYS","DE 2.001 A 2.500 EUROS"
"131",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"132",2021,"HOME","DE 55 A 64 ANYS","DE 500 A 1.000 EUROS"
"133",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"134",2021,"HOME","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"135",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"136",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"137",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"138",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"139",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"140",2021,"HOME","DE 25 A 34 ANYS","DE 500 A 1.000 EUROS"
"141",2021,"HOME","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"142",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"143",2021,"HOME","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"144",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"145",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"146",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"147",2021,"DONA","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"148",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"149",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"150",2021,"HOME","DE 25 A 34 ANYS","DE 500 A 1.000 EUROS"
"151",2021,"HOME","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
"152",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"153",2021,"HOME","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"154",2021,"DONA","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"155",2021,"HOME","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"156",2021,"HOME","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"157",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"158",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"159",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"160",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"161",2021,"DONA","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"162",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"163",2021,"HOME","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"164",2021,"DONA","DE 25 A 34 ANYS","NO CONTESTA"
"165",2021,"HOME","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"166",2021,"HOME","DE 35 A 44 ANYS","NO CONTESTA"
"167",2021,"DONA","DE 65 A 74 ANYS","DE 7.001 A 9.000 EUROS"
"168",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"169",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"170",2021,"DONA","DE 35 A 44 ANYS","NO CONTESTA"
"171",2021,"HOME","DE 18 A 24 ANYS","MENYS DE 500 EUROS"
"172",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"173",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"174",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"175",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"176",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"177",2021,"HOME","DE 18 A 24 ANYS","DE 2.001 A 2.500 EUROS"
"178",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"179",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"180",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"181",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"182",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"183",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"184",2021,"DONA","DE 45 A 54 ANYS","DE 5.001 A 7.000 EUROS"
"185",2021,"HOME","DE 18 A 24 ANYS","DE 1.501 A 2.000 EUROS"
"186",2021,"DONA","DE 25 A 34 ANYS","MENYS DE 500 EUROS"
"187",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"188",2021,"DONA","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"189",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"190",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"191",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"192",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"193",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"194",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"195",2021,"DONA","DE 45 A 54 ANYS","DE 500 A 1.000 EUROS"
"196",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"197",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"198",2021,"DONA","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
"199",2021,"DONA","DE 45 A 54 ANYS","MÉS DE 9.000 EUROS"
"200",2021,"DONA","DE 35 A 44 ANYS","DE 7.001 A 9.000 EUROS"
"201",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"202",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"203",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"204",2021,"DONA","DE 65 A 74 ANYS","DE 2.501 A 3.000 EUROS"
"205",2021,"HOME","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"206",2021,"HOME","DE 55 A 64 ANYS","NO CONTESTA"
"207",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"208",2021,"HOME","DE 55 A 64 ANYS","NO CONTESTA"
"209",2021,"HOME","DE 25 A 34 ANYS","NO CONTESTA"
"210",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"211",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"212",2021,"HOME","DE 18 A 24 ANYS","DE 1.001 A 1.500 EUROS"
"213",2021,"DONA","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"214",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"215",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"216",2021,"HOME","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"217",2021,"DONA","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"218",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"219",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"220",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"221",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"222",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"223",2021,"DONA","DE 25 A 34 ANYS","NO HO SAP"
"224",2021,"DONA","DE 45 A 54 ANYS","NO CONTESTA"
"225",2021,"HOME","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"226",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"227",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"228",2021,"DONA","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"229",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"230",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"231",2021,"DONA","DE 65 A 74 ANYS","DE 1.501 A 2.000 EUROS"
"232",2021,"HOME","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"233",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"234",2021,"DONA","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"235",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"236",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"237",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"238",2021,"HOME","DE 25 A 34 ANYS","DE 5.001 A 7.000 EUROS"
"239",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"240",2021,"HOME","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"241",2021,"DONA","DE 25 A 34 ANYS","MENYS DE 500 EUROS"
"242",2021,"DONA","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
"243",2021,"HOME","DE 18 A 24 ANYS","DE 500 A 1.000 EUROS"
"244",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"245",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"246",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"247",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"248",2021,"DONA","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
"249",2021,"HOME","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"250",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"251",2021,"DONA","DE 25 A 34 ANYS","DE 5.001 A 7.000 EUROS"
"252",2021,"DONA","DE 55 A 64 ANYS","NO CONTESTA"
"253",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"254",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"255",2021,"DONA","DE 55 A 64 ANYS","DE 2.001 A 2.500 EUROS"
"256",2021,"DONA","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"257",2021,"HOME","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"258",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"259",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"260",2021,"HOME","DE 35 A 44 ANYS","DE 7.001 A 9.000 EUROS"
"261",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"262",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"263",2021,"HOME","DE 45 A 54 ANYS","DE 500 A 1.000 EUROS"
"264",2021,"DONA","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
"265",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"266",2021,"DONA","DE 45 A 54 ANYS","NO CONTESTA"
"267",2021,"DONA","DE 45 A 54 ANYS","DE 2.001 A 2.500 EUROS"
"268",2021,"DONA","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"269",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"270",2021,"DONA","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"271",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"272",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"273",2021,"HOME","DE 35 A 44 ANYS","MENYS DE 500 EUROS"
"274",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"275",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"276",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"277",2021,"HOME","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"278",2021,"HOME","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"279",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"280",2021,"DONA","DE 55 A 64 ANYS","MÉS DE 9.000 EUROS"
"281",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"282",2021,"DONA","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"283",2021,"DONA","DE 55 A 64 ANYS","NO CONTESTA"
"284",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"285",2021,"HOME","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"286",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"287",2021,"HOME","DE 25 A 34 ANYS","DE 1.001 A 1.500 EUROS"
"288",2021,"HOME","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"289",2021,"HOME","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"290",2021,"DONA","DE 45 A 54 ANYS","NO CONTESTA"
"291",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"292",2021,"HOME","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"293",2021,"HOME","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"294",2021,"DONA","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"295",2021,"HOME","DE 35 A 44 ANYS","DE 2.501 A 3.000 EUROS"
"296",2021,"HOME","DE 18 A 24 ANYS","DE 3.001 A 5.000 EUROS"
"297",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"298",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"299",2021,"DONA","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"300",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"301",2021,"HOME","DE 18 A 24 ANYS","DE 1.001 A 1.500 EUROS"
"302",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"303",2021,"DONA","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"304",2021,"HOME","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"305",2021,"DONA","DE 55 A 64 ANYS","DE 1.001 A 1.500 EUROS"
"306",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"307",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"308",2021,"HOME","DE 55 A 64 ANYS","NO CONTESTA"
"309",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"310",2021,"DONA","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"311",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"312",2021,"DONA","DE 25 A 34 ANYS","DE 500 A 1.000 EUROS"
"313",2021,"DONA","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"314",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"315",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"316",2021,"DONA","DE 55 A 64 ANYS","NO CONTESTA"
"317",2021,"HOME","DE 65 A 74 ANYS","MÉS DE 9.000 EUROS"
"318",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"319",2021,"HOME","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"320",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"321",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"322",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"323",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
